CSDUID,CSD,Period,IndicatorSummaryDescription,Rental Unit Type,UnitOfMeasure,OriginalValue
4813048,Athabasca,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,862.00000
4813048,Athabasca,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,874.00000
4813048,Athabasca,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,925.00000
4813048,Athabasca,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,904.00000
4813048,Athabasca,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,959.00000
4813048,Athabasca,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,926.00000
4813048,Athabasca,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,951.00000
4813048,Athabasca,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,959.00000
4813048,Athabasca,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,966.00000
4813048,Athabasca,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,958.00000
4813048,Athabasca,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,912.00000
4817033,Lesser Slave River No.124,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,521.00000
4817033,Lesser Slave River No.124,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,544.00000
4817033,Lesser Slave River No.124,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,549.00000
4817033,Lesser Slave River No.124,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,587.00000
4817033,Lesser Slave River No.124,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,610.00000
4817033,Lesser Slave River No.124,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,621.00000
4817033,Lesser Slave River No.124,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,624.00000
4817033,Lesser Slave River No.124,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,657.00000
4817033,Lesser Slave River No.124,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,656.00000
4819009,Beaverlodge,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,591.00000
4819009,Beaverlodge,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,635.00000
4819009,Beaverlodge,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,793.00000
4819009,Beaverlodge,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,788.00000
4819009,Beaverlodge,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,766.00000
4819009,Beaverlodge,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,761.00000
4819009,Beaverlodge,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,758.00000
4819009,Beaverlodge,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,790.00000
4819009,Beaverlodge,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,800.00000
4819009,Beaverlodge,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,854.00000
4819009,Beaverlodge,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,947.00000
4819009,Beaverlodge,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,853.00000
4819009,Beaverlodge,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,813.00000
4819009,Beaverlodge,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,853.00000
4819009,Beaverlodge,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,903.00000
4810052,Two Hills,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,413.00000
4810052,Two Hills,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,417.00000
4810052,Two Hills,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,532.00000
4810052,Two Hills,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,577.00000
4810052,Two Hills,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,628.00000
4810052,Two Hills,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,660.00000
4810052,Two Hills,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,706.00000
4810052,Two Hills,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,711.00000
4810052,Two Hills,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,715.00000
4810052,Two Hills,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,738.00000
4810052,Two Hills,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,800.00000
4810052,Two Hills,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,807.00000
4810052,Two Hills,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,673.00000
4810052,Two Hills,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,775.00000
4810052,Two Hills,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,708.00000
4810042,Vermilion,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,520.00000
4810042,Vermilion,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,539.00000
4810042,Vermilion,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,642.00000
4810042,Vermilion,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,694.00000
4810042,Vermilion,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,732.00000
4810042,Vermilion,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,725.00000
4810042,Vermilion,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,746.00000
4810042,Vermilion,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,762.00000
4810042,Vermilion,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,813.00000
4810042,Vermilion,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,843.00000
4810042,Vermilion,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,884.00000
4810042,Vermilion,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,864.00000
4810042,Vermilion,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,872.00000
4810042,Vermilion,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,896.00000
4810042,Vermilion,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,927.00000
4814003,Yellowhead County,1987,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1988,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1989,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1990,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1991,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1992,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1993,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1994,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1995,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1996,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1997,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1998,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,1999,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2000,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2001,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2002,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2003,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2004,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2019,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2020,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814003,Yellowhead County,2022,Average Residential Rent (2-bedroom units),2 - bedroom,$
4814019,Hinton,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,547.00000
4814019,Hinton,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,739.00000
4814019,Hinton,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,887.00000
4814019,Hinton,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,908.00000
4814019,Hinton,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,921.00000
4814019,Hinton,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,888.00000
4814019,Hinton,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,943.00000
4814019,Hinton,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,916.00000
4814019,Hinton,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,974.00000
4814019,Hinton,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,987.00000
4814019,Hinton,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,1011.00000
4814019,Hinton,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,1027.00000
4814019,Hinton,2017,Average Residential Rent (2-bedroom units),2 - bedroom,$,1021.00000
4814019,Hinton,2018,Average Residential Rent (2-bedroom units),2 - bedroom,$,1101.00000
4814019,Hinton,2021,Average Residential Rent (2-bedroom units),2 - bedroom,$,1045.00000
4814024,Edson,2005,Average Residential Rent (2-bedroom units),2 - bedroom,$,591.00000
4814024,Edson,2006,Average Residential Rent (2-bedroom units),2 - bedroom,$,674.00000
4814024,Edson,2007,Average Residential Rent (2-bedroom units),2 - bedroom,$,825.00000
4814024,Edson,2008,Average Residential Rent (2-bedroom units),2 - bedroom,$,936.00000
4814024,Edson,2009,Average Residential Rent (2-bedroom units),2 - bedroom,$,933.00000
4814024,Edson,2010,Average Residential Rent (2-bedroom units),2 - bedroom,$,895.00000
4814024,Edson,2011,Average Residential Rent (2-bedroom units),2 - bedroom,$,909.00000
4814024,Edson,2012,Average Residential Rent (2-bedroom units),2 - bedroom,$,933.00000
4814024,Edson,2013,Average Residential Rent (2-bedroom units),2 - bedroom,$,954.00000
4814024,Edson,2014,Average Residential Rent (2-bedroom units),2 - bedroom,$,1026.00000
4814024,Edson,2015,Average Residential Rent (2-bedroom units),2 - bedroom,$,1030.00000
4814024,Edson,2016,Average Residential Rent (2-bedroom units),2 - bedroom,$,1023.00000
